日期,max_temp,min_temp,ave_temp,T0100
20181107,8,2,5,2795.49888
20181108,15,2,8.5,2983.04712
20181109,17,4,10.5,2884.548175
20181110,12,2,7,2966.32864
20181111,14,3,8.5,2976.54038
20181112,15,4,9.5,2909.0862
20181113,14,5,9.5,2977.56676
20181114,12,4,8,3096.04354
20181115,9,2,5.5,3160.61314
20181116,6,1,3.5,3217.993235
20181117,5,3,4,3316.42587
20181118,10,0,5,3278.86002
20181119,10,1,5.5,3109.8573
20181120,9,1,5,3188.460015
20181121,7,1,4,3253.56475
20181122,11,1,6,3249.36575
20181123,15,2,8.5,3261.915915
20181124,13,2,7.5,3216.420985
20181125,15,1,8,3101.4688
20181126,14,2,8,3007.58657
20181127,12,1,6.5,3119.16312
20181128,14,0,7,3138.36072
20181129,13,3,8,3114.04338
20181130,11,3,7,3093.32103
20181201,11,2,6.5,3140.071195
20181202,9,3,6,3072.87855
20181203,9,-1,4,3020.671775
20181204,7,0,3.5,3170.093665
20181205,4,2,3,3252.18326
20181206,5,-4,0.5,3344.25631
20181207,1,-3,-1,3492.86025
20181208,-1,-6,-3.5,3667.008075
20181209,2,-3,-0.5,3751.66647
20181210,2,-3,-0.5,3632.20739
20181211,1,-5,-2,3828.016925
20181212,3,-3,0,3869.35209
20181213,4,-7,-1.5,3857.62643
20181214,4,-2,1,3903.699815
20181215,6,-1,2.5,3863.86755
20181216,10,-2,4,3690.669725
20181217,10,-2,4,3467.66169
20181218,10,-2,4,3564.540125
20181219,8,-2,3,3483.8951
20181220,8,-1,3.5,3518.47985
20181221,7,-1,3,3474.507865
20181222,5,-2,1.5,3557.31072
20181223,5,-2,1.5,3498.46753
20181224,2,-2,0,3538.399355
20181225,6,-1,2.5,3642.108385
20181226,4,-2,1,3602.18663
20181227,1,-4,-1.5,3603.91449
20181228,-1,-6,-3.5,3842.77717
20181229,0,-6,-3,3872.12001
20181230,1,-5,-2,3921.68455
20181231,1,-5,-2,3885.48575
20190101,2,-5,-1.5,3938.48055
20190102,4,-6,-1,3725.114255
20190103,3,-3,0,3934.08642
20190104,3,-2,0.5,3905.97459
20190105,5,-3,1,3891.95715
20190106,3,-3,0,3895.40033
20190107,1,-4,-1.5,3800.96596
20190108,4,-4,0,3870.86107
20190109,0,-6,-3,3847.68924
20190110,2,-4,-1,3905.203665
20190111,5,-5,0,3921.26788
20190112,7,-4,1.5,3898.76485
20190113,6,-4,1,3831.84077
20190114,5,-3,1,3693.7748
20190115,3,-6,-1.5,3758.28531
20190116,3,-6,-1.5,3803.711175
20190117,6,-3,1.5,3911.456185
20190118,6,-4,1,3891.715375
20190119,5,-4,0.5,3838.87134
20190120,4,-5,-0.5,3683.35197
20190121,6,-4,1,3614.958715
20190122,9,-2,3.5,3660.317035
20190123,8,-1,3.5,3569.883875
20190124,5,0,2.5,3530.08505
20190125,8,-1,3.5,3521.11287
20190126,7,0,3.5,3446.4252
20190127,5,0,2.5,3375.576385
20190128,4,-1,1.5,3338.966615
20190129,7,-3,2,3371.668085
20190130,3,-2,0.5,3244.65888
20190131,4,-5,-0.5,3258.62065
20190201,6,1,3.5,3276.15955
20190202,10,0,5,3112.684025
20190203,8,-2,3,2860.53455
20190204,11,-1,5,2664.469085
20190205,11,1,6,2700.893795
20190206,10,1,5.5,2498.15629
20190207,7,-3,2,2472.11869
20190208,2,-3,-0.5,2716.91545
20190209,0,-7,-3.5,2782.1092
20190210,0,-7,-3.5,2970.352935
20190211,5,-5,0,3052.816925
20190212,7,-1,3,3271.59499
20190213,5,-2,1.5,3254.75776
20190214,3,-2,0.5,3411.415705
20190215,6,-2,2,3505.48442
20190216,5,-1,2,3424.40705
20190217,2,-3,-0.5,3432.83165
20190218,2,-2,0,3422.243235
20190219,6,1,3.5,3519.19805
20190220,9,2,5.5,3438.3977
20190221,6,-1,2.5,3379.40935
20190222,10,-1,4.5,3461.87676
20190223,11,1,6,3420.81643
20190224,12,2,7,3325.893
20190225,14,5,9.5,3082.7386
20190226,8,3,5.5,3173.98591
20190227,9,3,6,3189.09832
20190228,12,5,8.5,3100.617505
20190301,6,3,4.5,3184.842985
20190302,8,2,5,3286.05741
20190303,14,3,8.5,3260.15414
20190304,12,2,7,3076.662685
20190305,16,2,9,3128.1486
20190306,14,4,9,3022.691
